task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
8	db/b542ae	072ac8a6-451a-4834-bdc0-c12a97377950	FASTQC (5)	COMPLETED	0	2025-07-23 09:55:16.626	2m 38s	23.6s	105.3%	210.4 MB	3 GB	213.9 MB	2.3 MB
10	75/e8f35b	2b23b438-0a14-406f-9e08-1e12b7edd3ff	TRIM_GALORE (5)	COMPLETED	0	2025-07-23 09:55:16.850	3m 28s	1m 12s	221.9%	258 MB	3.3 GB	3.8 GB	3.6 GB
5	8f/9ac17c	8c866b8d-89ec-465d-9c40-3622a1abb072	FASTQC (4)	COMPLETED	0	2025-07-23 09:55:16.627	5m 58s	2m 47s	100.1%	226.2 MB	3.4 GB	1.3 GB	2.1 MB
13	57/be3737	145beca6-0b60-4ceb-882a-da7540e60483	FASTQC (7)	COMPLETED	0	2025-07-23 09:55:16.504	6m 28s	4m 4s	100.5%	241.1 MB	3 GB	2.4 GB	2.1 MB
14	c0/96c8b9	dc83d6e2-8beb-4c9e-8382-65f90aa2fa70	FASTQC (8)	COMPLETED	0	2025-07-23 09:55:16.588	7m 48s	5m 14s	100.9%	209.8 MB	3 GB	2.5 GB	2.2 MB
2	49/0342c2	1a3dac93-9255-4f0b-8ac7-26f23d69c5a6	FASTQC (1)	COMPLETED	0	2025-07-23 09:55:16.625	8m 38s	6m	100.5%	261.6 MB	3 GB	3.5 GB	2.2 MB
12	cb/2ce180	7e12ee4c-a813-4dd1-a996-c5a42e870ad6	FASTQC (6)	COMPLETED	0	2025-07-23 09:55:16.623	8m 38s	6m 2s	100.7%	207.9 MB	3 GB	3.5 GB	2.2 MB
21	b9/855c73	4b61e253-38d9-401c-812f-d95f83e490d4	HISAT2_ALIGN (1)	COMPLETED	0	2025-07-23 09:58:46.906	5m 8s	1m 57s	320.2%	4.2 GB	8.9 GB	8.5 GB	7.2 GB
15	0b/d10c9e	c42fe717-553d-46ea-9544-f23b74e92fbe	FASTQC (9)	COMPLETED	0	2025-07-23 09:55:16.849	8m 47s	5m 40s	100.4%	289.9 MB	3.3 GB	2.6 GB	2.2 MB
4	c4/f043ae	2a857eec-ddd1-4ca4-9491-5bd6a046aba7	FASTQC (3)	COMPLETED	0	2025-07-23 09:55:16.849	9m 38s	6m 12s	100.9%	238.1 MB	3.3 GB	3.7 GB	2.2 MB
3	9b/b0821b	2feccce7-4d7b-4837-913f-7a20c2cbe332	FASTQC (2)	COMPLETED	0	2025-07-23 09:55:16.628	9m 58s	6m 45s	100.1%	223.3 MB	3.2 GB	3.5 GB	2.2 MB
9	6a/4a8740	ca23f853-fd52-407d-9f5d-49de314849b7	TRIM_GALORE (4)	COMPLETED	0	2025-07-23 09:55:16.632	10m 8s	7m 43s	219.2%	244 MB	3.4 GB	22.8 GB	21.4 GB
19	85/a68f15	24a606c6-2804-4d97-a109-f6beaaf687b7	FASTQC (10)	COMPLETED	0	2025-07-23 09:55:16.626	11m 58s	8m 40s	100.6%	227.8 MB	3.3 GB	5.4 GB	2.2 MB
